"210 Allegheny Ave, Towson, MD, 21204","-76.607151663354,39.402120462984"
"5850 Granite Pky, Plano, TX, 75024","-96.821651588912,33.087912172566"
"2300 Valley View Ln, Irving, TX, 75062","-97.021642134011,32.840420628784"
"3235 Satellite Blvd, Duluth, GA, 30096","-84.131856930724,33.963181928606"
"1909 Woodall Rodgers Fwy, Dallas, TX, 75201","-96.802928154581,32.788871608424"
"50 Glenlake Pky NE, Atlanta, GA, 30328",
"4925 N O'Connor Blvd, Irving, TX, 75062",
"3175 Satellite Blvd, Duluth, GA, 30096","-84.131658843781,33.963437556089"
"2701 Dallas Pky, Plano, TX, 75093",
"9229 W Sunset Blvd, West Hollywood, CA, 90069","-118.392812122532,34.090334698168"
"408-410 S Michigan Ave, Chicago, IL, 60605","-87.624434388808,41.876501889423"
"120 N Racine Ave, Chicago, IL, 60607","-87.656770743149,41.883508887603"
"540 W Madison St, Chicago, IL, 60661","-87.641360246628,41.881909323569"
"430 W Erie St, Chicago, IL, 60654","-87.640105170178,41.893974913915"
"321 N Clark St, Chicago, IL, 60654","-87.63096153291,41.888130521529"
"311 W Superior St, Chicago, IL, 60654","-87.636194439115,41.895508585612"
"311 S Wacker Dr, Chicago, IL, 60606","-87.63659379649,41.877926237476"
"303 W Madison St, Chicago, IL, 60606","-87.635445222969,41.881875850353"
"181 W Madison St, Chicago, IL, 60602","-87.633155522699,41.881897683006"
"180 N LaSalle St, Chicago, IL, 60601","-87.632504208879,41.885176441021"
"2565 Augustine Dr, Santa Clara, CA, 95054","-121.973956958534,37.382389352253"
"3800 Maple Ave, Dallas, TX, 75219","-96.814301655394,32.804252966759"
"1000 Windward Concourse, Alpharetta, GA, 30005","-84.239280561351,34.09477464811"
"1801 N Hampton Rd, Desoto, TX, 75115","-96.85720230769,32.624177466355"
"2300 Camp Creek Pky, College Park, GA, 30337","-84.45762482321,33.648354044344"
"6333 N State Highway 161, Irving, TX, 75038",
"55 Ivan Allen Blvd NW, Atlanta, GA, 30308",
"10945 Estate Ln, Dallas, TX, 75238","-96.697384654869,32.883655774952"
"165 Ottley Dr NE, Atlanta, GA, 30324","-84.381851664229,33.808144567894"
"10935 Estate Ln, Dallas, TX, 75238","-96.697769160369,32.883867786817"
"1925 Vaughn Rd NW, Kennesaw, GA, 30144","-84.590619340377,34.005431535879"
"12222 Merit Dr, Dallas, TX, 75251","-96.772215875662,32.913819448347"
"5825 Glenridge Dr NE, Sandy Springs, GA, 30328","-84.362236754137,33.914530826501"
"14140 Midway Rd, Farmers Branch, TX, 75244","-96.838805552237,32.942638972861"
"77 W Washington St, Chicago, IL, 60602","-87.630249554607,41.883153849845"
"6755 Peachtree Industrial Blvd, Atlanta, GA, 30360","-84.27137996651,33.927999016561"
"3225 Cumberland Blvd SE, Atlanta, GA, 30339","-84.45940275256,33.87809706905"
"2700 Cumberland Pky SE, Atlanta, GA, 30339","-84.472664048679,33.877395657425"
"3505 Koger Blvd, Duluth, GA, 30096","-84.122168474587,33.949314237335"
"6600 Peachtree Dunwoody Rd NE, Atlanta, GA, 30328","-84.35381882035,33.93924029234"
"315 Park Ave S, New York, NY, 10010","-73.985974313691,40.740602157226"
"123 N Wacker Dr, Chicago, IL, 60606","-87.636724302194,41.883518183587"
"270 Lafayette St, New York, NY, 10012","-73.996454864524,40.723822319204"
"410 N Michigan Ave, Chicago, IL, 60611","-87.624408397376,41.889728958938"
"233 S Wacker Dr, Chicago, IL, 60606","-87.636595465397,41.878516998901"
"100-104 5th Ave, New York, NY, 10011","-73.993037232489,40.736923582603"
"180 N Stetson Ave, Chicago, IL, 60601","-87.622401713668,41.886793144483"
"10 Rockefeller Plaza, New York, NY, 10020","-73.979276259833,40.758052864383"
"150 S Wacker Dr, Chicago, IL, 60606","-87.637107896676,41.885075882296"
"111 Broadway, New York, NY, 10006","-74.011804993139,40.707737847846"
"35 E Wacker Dr, Chicago, IL, 60601","-87.625851774658,41.887530047162"
"One Park Ave, New York, NY, 10016",
"222 Merchandise Mart Plz, Chicago, IL, 60654","-87.63573708788,41.888015469074"
"1-13 E 33rd St, New York, NY, 10016","-73.984207625619,40.747483341375"
"444 W Lake St, Chicago, IL, 60606","-87.639431130354,41.885779441303"
"9601 Wilshire Blvd, Beverly Hills, CA, 90210","-118.403489180386,34.06711407811"
"120 W Madison St, Chicago, IL, 60602","-87.631766094196,41.882026441519"
"9401 Wilshire Blvd, Beverly Hills, CA, 90212","-118.397443204888,34.067112389393"
"1 E Wacker Dr, Chicago, IL, 60601","-87.626333450504,41.887177895037"
"9255 W Sunset Blvd, West Hollywood, CA, 90069","-118.393134013166,34.090141563805"
"455 N Cityfront Plaza Dr, Chicago, IL, 60611","-87.62151778375,41.890382088632"
"4300 Alexander Dr, Alpharetta, GA, 30022","-84.245677592774,34.059963612618"
"8445 Freeport Pky, Irving, TX, 75063","-97.020258356931,32.92181731528"
"1513 Cleveland Ave, East Point, GA, 30344","-84.439946123449,33.679450134948"
"5040 Addison Cir, Addison, TX, 75001","-96.824274419231,32.961601085678"
